0110,HOMICIDE FIRST DEGREE MURDER
0130,HOMICIDE SECOND DEGREE MURDER
0141,HOMICIDE INVOLUNTARY MANSLAUGHTER
0141,HOMIICIDE INVOLUNTARY MANSLAUGHTER
0142,HOMICIDE RECKLESS HOMICIDE
0150,JUSTIFIABLE HOMICIDE
0261,CRIM SEXUAL ASSAULT AGGRAVATED: HANDGUN
0262,CRIM SEXUAL ASSAULT AGGRAVATED: OTHER FIREARM
0263,CRIM SEXUAL ASSAULT AGGRAVATED: KNIFE/CUT INSTR
0264,CRIM SEXUAL ASSAULT AGGRAVATED: OTHER DANG WEAPON
0265,CRIM SEXUAL ASSAULT AGGRAVATED: OTHER
0266,CRIM SEXUAL ASSAULT PREDATORY
0271,CRIM SEXUAL ASSAULT ATTEMPT AGG: HANDGUN
0272,CRIM SEXUAL ASSAULT ATTEMPT AGG: OTHER FIREARM
0273,CRIM SEXUAL ASSAULT ATTEMPT AGG: KNIFE/CUT INSTR
0274,CRIM SEXUAL ASSAULT ATTEMPT AGG: OTHER DANG WEAPON
0275,CRIM SEXUAL ASSAULT ATTEMPT AGG: OTHER
0281,CRIM SEXUAL ASSAULT NON-AGGRAVATED
0291,CRIM SEXUAL ASSAULT ATTEMPT NON-AGGRAVATED
0312,ROBBERY ARMED:KNIFE/CUTTING INSTRUMENT
0313,ROBBERY ARMED: OTHER DANGEROUS WEAPON
031A,ROBBERY ARMED: HANDGUN
031B,ROBBERY ARMED: OTHER FIREARM
0320,ROBBERY STRONGARM - NO WEAPON
0325,ROBBERY VEHICULAR HIJACKING
0326,ROBBERY AGGRAVATED VEHICULAR HIJACKING
0330,ROBBERY AGGRAVATED
0331,ROBBERY ATTEMPT: AGGRAVATED
0334,ROBBERY ATTEMPT: ARMED-KNIFE/CUT INSTR
0337,ROBBERY ATTEMPT: ARMED-OTHER DANG WEAP
033A,ROBBERY ATTEMPT: ARMED-HANDGUN
033B,ROBBERY ATTEMPT: ARMED-OTHER FIREARM
0340,ROBBERY ATTEMPT: STRONGARM-NO WEAPON
041A,BATTERY AGGRAVATED: HANDGUN
041B,BATTERY AGGRAVATED: OTHER FIREARM
0420,BATTERY AGGRAVATED:KNIFE/CUTTING INSTR
0430,BATTERY AGGRAVATED: OTHER DANG WEAPON
0440,BATTERY AGG: HANDS/FIST/FEET NO/MINOR INJURY
0450,BATTERY AGGRAVATED PO: HANDGUN
0451,BATTERY AGGRAVATED PO: OTHER FIREARM
0452,BATTERY AGGRAVATED PO: KNIFE/CUT INSTR
0453,BATTERY AGGRAVATED PO: OTHER DANG WEAP
